length_nm,width_nm,aspect_ratio,colour
1.526,0.14,10.899999999999999,Iridescent
2.139,0.317,6.74763406940063,Iridescent
2.545,0.318,8.00314465408805,Iridescent
1.345,0.207,6.497584541062802,Iridescent
1.454,0.199,7.306532663316582,Iridescent
1.407,0.199,7.0703517587939695,Iridescent
2.224,0.268,8.298507462686567,Iridescent
1.249,0.155,8.058064516129033,Iridescent
1.466,0.189,7.756613756613756,Iridescent
0.905,0.152,5.953947368421053,Iridescent
1.724,0.173,9.965317919075146,Iridescent
1.263,0.133,9.496240601503757,Iridescent
1.46,0.198,7.373737373737373,Iridescent
